BSC,CELL,THRAV,THRVP,THRDV,RULES_APPLIED,MaxTi,MaxCong,MaxTch,VAMOS,ENM,DATA_OF
CBEB9,CB9YB0A,8,8,22,Default,0.09,0.0,13.67,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9YB0B,8,8,24,Default,0.35,0.0,13.03,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9YB0C,8,8,23,Default,0.15,0.0,13.43,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9YB1A,4,4,11,Default,0.4,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9YB1B,8,8,24,Default,0.46,0.0,13.0,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9YB1C,4,4,11,Default,0.37,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9YB2A,8,8,24,Default,0.97,0.0,12.52,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9YB2B,5,5,14,Default,0.15,0.0,21.55,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0605C,3,3,10,Default,0.32,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0605M,8,8,24,Default,0.55,0.0,13.03,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0Q39C,3,3,10,Default,0.26,0.0,37.16,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0Q60A,5,5,15,Default,0.81,0.0,21.01,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0Q60B,8,8,23,Default,0.46,0.0,13.51,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0Q60C,5,5,15,Default,0.29,0.0,21.19,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0R27A,2,2,10,Default,0.43,0.0,51.99,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0R27B,10,10,20,Cong: >0-2,0.43,0.25,43.77,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0R27C,4,4,11,Default,0.21,0.0,28.34,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0ZP7B,4,4,11,Default,0.24,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CC0ZP7C,4,4,11,Default,0.4,0.0,28.81,PLANNED,NA,2025-12-10 14:54:56
CBEC0,CCOQ40A,5,5,14,Default,0.14,0.0,21.93,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7557A,5,5,14,Default,0.06,0.0,21.87,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7557B,5,5,14,Default,0.13,0.0,22.0,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7557C,5,5,14,Default,0.18,0.0,21.86,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7I02C,3,3,10,Default,0.42,0.0,39.86,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7I03A,8,8,22,Default,0.24,0.0,13.86,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7I03B,50,50,100,"Ti: 1.5-100, Cong: 2-5 (Ti)",1.88,3.14,10.94,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7I03C,50,50,100,"Ti: 1.5-100, Cong: >0-2 (Ti)",1.93,0.2,19.75,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7I03E,50,50,100,Ti: 1.5-100,1.99,0.0,6.0,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7I03F,50,50,100,"Ti: 1.5-100, Cong: 10+ (Cg)",1.66,45.0,6.0,PLANNED,NA,2025-12-10 14:54:56
CBEB7,CB7I04A,25,25,50,Ti: 1.1-1.3,1.2,0.0,57.21,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8A99B,4,4,11,Default,0.62,0.0,27.79,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8A99C,3,3,10,Default,0.54,0.0,44.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8A9LA,4,4,11,Default,0.62,0.0,28.91,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8A9LB,4,4,11,Default,0.32,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8A9LC,4,4,11,Default,0.3,0.0,29.05,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8J63C,4,4,11,Default,0.32,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8J68A,5,5,15,Default,0.33,0.0,20.24,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8J68B,5,5,15,Default,0.24,0.0,20.47,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8J68C,25,25,50,Cong: >0-2,0.75,0.69,12.0,PLANNED,NA,2025-12-10 14:54:56
