bsc,cell,max_intensity,max_congestion,max_avail_tch_mean
CBEB4,CGHTZF9A,0.48,0.0,29.0
CBEB4,CGHTZF9B,0.31,0.0,29.0
CBEB4,CGHTZF9C,0.38,0.0,29.0
CBEB5,CB5O39A,0.3,0.0,29.03
CBEB5,CB5O39B,0.27,0.0,29.65
CBEB5,CB5O39C,0.34,0.0,39.27
CBEB5,CB5O40A,0.67,0.0,37.0
CBEB5,CB5O40B,0.29,0.0,35.32
CBEB5,CB5O40C,0.32,0.0,20.13
CBEB5,CB5O41A,0.41,0.0,20.46
CBEB5,CB5O41B,0.13,0.0,28.58
CBEB5,CB5O41C,0.29,0.0,29.04
CBEB5,CGHLS83C,0.51,0.0,28.66
CBEB6,CB6GH3A,0.48,0.0,37.0
CBEB6,CB6GH3B,0.54,0.0,44.53
CBEB6,CB6GH3C,0.45,0.0,29.04
CBEB6,CB6H03U,0.05,0.0,14.0
CBEB6,CB6H06L,0.59,0.0,28.82
CBEB6,CB6H07L,0.12,0.0,29.29
CBEB6,CB6H08L,0.45,0.0,21.02
CBEB6,CB6H17A,0.4,0.0,21.23
CBEB3,CGCDG62A,0.36,0.0,21.42
CBEB3,CGCDG62B,0.26,0.0,21.52
CBEB6,CB6R91C,0.39,0.0,36.04
CBEB3,CGHTZE8A,0.21,0.0,21.74
CBEB3,CGHTZE8B,0.28,0.0,21.38
CBEB3,CGHTZE8C,0.32,0.0,21.09
CBEB3,CGHTZE9A,0.31,0.0,21.23
CBEB3,CGHTZE9B,0.37,0.0,21.3
CBEB3,CGHTZE9C,0.4,0.0,21.08
CBEB3,CGHTZF6A,0.53,0.0,21.06
CBEB3,CGHTZF6B,0.25,0.0,21.83
CBEB3,CGHTZF6C,0.25,0.0,21.04
CBEB4,CB4580B,0.26,0.0,58.19
CBEB4,CB4G91B,0.23,0.0,29.09
CBEB4,CB4G91C,0.23,0.0,35.78
CBEB4,CB4G92A,0.33,0.0,28.0
CBEB4,CB4G92B,0.39,0.0,29.02
CBEB4,CB4G92C,0.31,0.0,29.03
CBEB4,CB4GG9A,0.26,0.0,21.18
CBEB4,CB4GG9B,0.23,0.0,21.11
CBEB4,CB4GG9C,0.2,0.0,13.4
CBEB4,CB4H01A,0.33,0.0,29.01
CBEB4,CGHTZG8A,0.25,0.0,29.0
CBEB4,CGHTZG8B,0.38,0.0,28.84
CBEB4,CGHTZG8C,0.24,0.0,29.01
CBEB4,CGHTZH0A,0.29,0.0,29.01
CBEB5,CB5115A,0.81,0.0,28.35
CBEB5,CB5115B,0.68,0.0,52.17
CBEB5,CB5115C,0.54,0.0,60.11
CBEB5,CB5115M,0.37,0.0,21.0
CBEB5,CB5117A,0.29,0.0,13.47
CBEB5,CB5117B,0.54,0.0,21.01
CBEB5,CGHLS86A,0.48,0.0,29.03
CBEB5,CGHLS86B,0.49,0.0,29.0
CBEB5,CGHLS86C,1.08,0.0,29.0
CBEB5,CGPTL77A,0.97,0.0,29.0
CBEB5,CGPTL77B,1.1,0.0,29.02
CBEB5,CGPTL77C,1.32,0.0,29.03
CBEB5,CGPTL78A,0.73,0.0,28.0
CBEB6,CB6647C,0.82,0.0,43.93
CBEB6,CB6651A,0.59,0.0,36.8
CBEB6,CB6651B,0.45,0.0,37.0
CBEB3,CGCDG62C,0.49,0.0,36.81
CBEB3,CGCDG63A,0.78,0.0,28.87
CBEB3,CGCDG63B,1.07,0.0,42.44
CBEB3,CGCDG63C,0.82,0.0,21.13
CBEB3,CGCDG67A,0.2,0.0,14.0
CBEB3,CGCDG67B,0.36,0.0,28.01
CBEB3,CGCDG67C,0.21,0.0,21.51
CBEB6,CB6R13B,0.4,0.0,29.0
CBEB6,CB6R13C,0.3,0.0,21.02
CBEB6,CB6R22A,0.29,0.0,13.13
CBEB3,CGSKD52B,0.4,0.0,29.01
CBEB3,CGSKD52C,0.25,0.0,21.04
CBEB3,CGSKD53A,0.48,0.0,43.75
CBEB3,CGSKD53B,0.5,0.0,29.0
CBEB3,CGSKD53C,0.37,0.0,29.01
CBEB3,CGSKD60A,0.08,0.0,14.0
CBEB3,CGSKD60B,0.3,0.0,13.52
CBEB3,CGSKD60C,0.05,0.0,14.0
CBEB3,CGSKD64A,0.44,0.0,27.66
CBEB4,CB4479B,0.36,0.0,29.01
CBEB4,CB4WP4A,0.29,0.0,21.31
CBEB4,CB4WP4B,0.24,0.0,13.42
CBEB4,CB4WP4C,0.17,0.0,21.46
CBEB4,CB4WP5A,0.36,0.0,21.11
CBEB4,CB4WP5B,0.2,0.0,29.14
CBEB4,CB4WP5C,0.31,0.0,21.25
CBEB4,CB4WP6A,0.19,0.0,29.2
CBEB4,CB4WP6B,0.39,0.0,21.0
CBEB4,CB4WP6C,0.25,0.0,21.27
CBEB4,CGHTZ49C,0.24,0.0,21.05
CBEB5,CB5117C,0.43,0.0,21.02
CBEB5,CB5129A,0.12,0.0,29.43
CBEB5,CB5897A,0.3,0.0,21.51
CBEB5,CB5897B,0.45,0.0,29.25
CBEB5,CB5897C,0.53,0.0,44.0
CBEB5,CB5898A,0.51,0.0,29.0
CBEB5,CB5898B,0.48,0.0,27.57
CBEB5,CB5898C,0.45,0.0,44.92
CBEB5,CB5899A,0.49,0.0,29.0
CBEB5,CB5899B,0.43,0.0,28.86
CBEB6,CB6651C,0.64,0.0,52.31
CBEB6,CB6804A,0.31,0.0,45.0
CBEB6,CB6804B,0.43,0.0,29.0
CBEB6,CB6804C,0.62,0.0,36.5
CBEB6,CB6822A,0.5,0.0,29.0
CBEB6,CB6G19B,0.38,0.0,29.02
CBEB6,CB6G19C,0.39,0.0,21.11
CBEB6,CB6G28A,0.63,0.0,66.93
CBEB6,CB6G28B,0.27,0.0,36.7
CBEB6,CB6G28C,0.63,0.0,44.93
CBEB6,CB6R22B,0.27,0.0,21.19
CBEB6,CB6R22C,0.26,0.0,21.17
CBEB6,CB6R23A,0.39,0.0,29.27
CBEB6,CB6R23B,0.78,0.0,21.07
CBEB6,CB6R23C,0.44,0.0,21.04
CBEB6,CB6R62A,0.26,0.0,21.5
CBEB3,CGHTZC5A,1.0,0.0,28.84
CBEB3,CGHTZC5B,0.4,0.0,21.04
CBEB3,CGHTZC5C,0.41,0.0,13.28
CBEB3,CGHTZC6A,0.31,0.0,13.79
CBEB4,CB4479C,0.44,0.0,35.46
CBEB4,CB4493A,0.49,0.0,20.0
CBEB4,CB4493B,0.43,0.0,35.93
CBEB4,CB4493C,0.38,0.0,36.0
CBEB4,CB4548A,0.67,0.0,36.8
CBEB4,CB4548B,0.37,0.0,29.0
CBEB4,CB4548C,0.35,0.0,36.84
CBEB4,CB4F30C,0.36,0.0,29.06
CBEB4,CB4F32A,0.54,0.0,43.15
CBEB4,CB4F32B,0.31,0.0,29.0
CBEB4,CGHTZ50A,0.42,0.0,29.0
CBEB4,CGHTZ50B,0.38,0.0,28.93
CBEB4,CGHTZ50C,0.35,0.0,29.01
CBEB4,CGHTZ51A,0.31,0.0,45.0
CBEB4,CGHTZ51B,0.31,0.0,44.66
CBEB4,CGHTZ51C,0.44,0.0,28.97
CBEB4,CGHTZ53A,0.38,0.0,13.19
CBEB4,CGRZN50A,0.6,0.0,28.59
CBEB4,CGRZN50B,0.39,0.0,28.99
CBEB4,CGRZN50C,0.39,0.0,29.01
CBEB5,CB5J87B,0.04,0.0,14.0
CBEB5,CB5J87C,0.01,0.0,14.0
CBEB5,CB5K38A,0.31,0.0,21.05
CBEB5,CB5K38B,0.34,0.0,29.05
CBEB5,CB5K38C,0.35,0.0,21.43
CBEB5,CB5K57A,0.53,0.0,21.15
CBEB5,CB5K57B,0.3,0.0,21.56
CBEB5,CB5K57C,0.32,0.0,29.2
CBEB5,CB5L02A,0.24,0.0,13.78
CBEB5,CB5O33B,0.54,0.0,26.85
CBEB6,CB6GH2A,0.81,0.0,43.07
CBEB6,CB6GH2B,0.56,0.0,52.43
CBEB6,CB6GH2C,0.53,0.0,44.33
CBEB3,CGCDG46A,0.55,0.0,29.0
